corridor,frame,time_sec,rat_x,rat_y,midpoint_x,midpoint_y
1,730,29.2,259,62,255,73
4,1716,68.64,132,229,131,253
3,2539,101.56,230,439,252,442
2,3722,148.88,375,296,374,269
1,3892,155.68,280,69,255,73
4,4085,163.4,133,236,131,253
1,4858,194.32,229,64,255,73
2,5136,205.44,375,240,374,269
3,5472,218.88,275,441,252,442
4,5895,235.8,140,273,131,253
1,6192,247.68,232,65,255,73
2,6378,255.12,374,242,374,269
3,6942,277.68,281,441,252,442
